tipoDocumento,numeroDocumento,nombreCompleto,fechaNacimiento,prePensionado,semanasCotizadas,fondoOrigen,ciudadNacimiento,ciudadResidencia,institucionPublica,tieneCondecoracion,tieneHijosInpec,familiaresPolicia,observacionDisciplinaria,declaranteRenta
PA,27171650,José Rodríguez,21/11/1986,false,497,Old Mutual,Cali,Cali,Ninguna,true,true,false,true,true
CE,99407447,Luis Sánchez,21/11/1983,false,702,Porvenir,Cali,Barranquilla,Minsalud,false,false,false,true,true
CC,37688296,Pedro Pérez,21/11/1999,false,540,Proteccion,Medellín,Medellín,Ninguna,true,true,false,true,true
PA,43370499,Luis González,21/11/2003,false,213,Porvenir,Barranquilla,Cali,Inpec,true,false,false,false,false
CE,11639769,Patricia Sánchez,21/11/1966,false,421,Porvenir,Bogotá,Cali,Inpec,true,false,false,true,true
PA,27936345,Patricia Pérez,21/11/1971,false,915,Old Mutual,Barranquilla,Cali,Mininterior,true,false,true,false,false
CE,58586401,Carmen González,21/11/1995,false,182,Porvenir,Cali,Cali,Ninguna,false,true,false,true,false
CC,66919148,Pedro Martínez,21/11/1977,false,572,Proteccion,Barranquilla,Cali,Mininterior,false,false,true,true,true
CE,95066751,Ana Pérez,21/11/1994,false,610,Old Mutual,Cali,Barranquilla,Policía,true,true,false,false,true
PA,26981004,María Sánchez,21/11/1970,true,681,Porvenir,Cali,Cartagena,Armada,true,true,false,false,true
CC,81549195,María González,21/11/1973,false,563,Colfondos,Medellín,Cartagena,Minsalud,false,false,false,true,true
PA,93338603,José Pérez,21/11/1978,false,815,Proteccion,Barranquilla,Cali,Inpec,false,false,false,true,true
PA,42768512,Luis Martínez,21/11/1991,false,902,Proteccion,Cartagena,Barranquilla,Inpec,true,true,true,true,true
PA,47513637,Pedro Pérez,21/11/1982,false,424,Old Mutual,Cali,Bogotá,Minsalud,true,true,false,true,false
PA,51662495,Luis López,21/11/1985,false,720,Proteccion,Medellín,Bogotá,Ninguna,false,false,true,false,false
CC,13349856,Patricia Martínez,21/11/1998,false,511,Colfondos,Barranquilla,Cali,Mininterior,true,true,false,false,false
PA,72050391,Luis López,21/11/1994,true,919,Proteccion,Cali,Barranquilla,Inpec,true,true,true,false,false
CE,67424744,Juan García,21/11/1963,true,655,Colfondos,Barranquilla,Bogotá,Inpec,false,true,true,false,true
PA,30781937,José Rodríguez,21/11/1978,false,741,Old Mutual,Cartagena,Cartagena,Policía,true,true,true,true,false
CE,70239273,Luis López,21/11/1971,true,911,Proteccion,Barranquilla,Medellín,Policía,true,true,true,false,true
CC,08874793,Juan Pérez,21/11/1975,false,951,Porvenir,Cartagena,Bogotá,Inpec,false,false,true,false,false
CC,77768478,José Sánchez,21/11/1967,false,761,Colfondos,Barranquilla,Cartagena,Ninguna,false,false,true,false,true
CE,40156342,Patricia López,21/11/1968,false,506,Proteccion,Medellín,Cali,Policía,true,false,true,false,false
CE,96062961,Pedro González,21/11/1986,false,936,Old Mutual,Cartagena,Cali,Minsalud,true,true,true,true,true
PA,50219104,José Pérez,21/11/1974,false,705,Old Mutual,Cartagena,Bogotá,Ninguna,false,true,true,true,true
CC,20881310,José Rodríguez,21/11/1963,false,304,Old Mutual,Bogotá,Medellín,Ninguna,false,false,false,false,true
CC,48624114,Ana González,21/11/1959,false,872,Proteccion,Medellín,Cartagena,Policía,true,false,false,false,true
CE,18433413,José García,21/11/1990,false,357,Porvenir,Bogotá,Bogotá,Inpec,false,true,true,true,true
PA,51593442,Patricia Rodríguez,21/11/1961,false,172,Porvenir,Cartagena,Barranquilla,Mininterior,false,true,false,true,false
CE,06601991,Pedro García,21/11/2000,false,229,Proteccion,Bogotá,Barranquilla,Armada,false,false,true,false,false
CE,12253501,Patricia López,21/11/2002,false,177,Proteccion,Medellín,Cartagena,Inpec,true,true,true,true,true
CE,26159327,Pedro Martínez,21/11/1984,false,401,Porvenir,Cartagena,Cali,Policía,false,false,true,true,false
PA,12189317,María Pérez,21/11/1984,false,769,Porvenir,Bogotá,Medellín,Policía,false,true,false,false,true
CC,06051345,Juan Sánchez,21/11/1988,false,416,Porvenir,Cali,Bogotá,Minsalud,false,true,true,true,false
CE,49331551,Carmen García,21/11/1988,true,969,Colfondos,Medellín,Cali,Policía,false,false,true,true,false
PA,53053283,Patricia Rodríguez,21/11/1960,false,485,Old Mutual,Barranquilla,Medellín,Armada,false,false,true,false,false
CE,00679473,Carmen González,21/11/1963,false,832,Proteccion,Cartagena,Barranquilla,Policía,true,false,true,false,false
CC,61040672,Carmen López,21/11/1977,false,390,Proteccion,Bogotá,Medellín,Policía,true,false,true,false,false
CC,64072204,Patricia Martínez,21/11/1986,false,288,Colfondos,Cartagena,Barranquilla,Policía,false,true,false,true,false
CC,91446481,Juan Martínez,21/11/1969,false,446,Porvenir,Barranquilla,Barranquilla,Minsalud,true,true,false,false,false
CC,16489561,Pedro García,21/11/1988,true,413,Colfondos,Medellín,Medellín,Armada,true,true,false,false,true
CE,02796266,Ana González,21/11/2005,false,808,Old Mutual,Bogotá,Medellín,Ninguna,true,true,false,true,false
PA,96603217,María Martínez,21/11/1998,true,347,Porvenir,Bogotá,Cali,Minsalud,true,false,true,false,true
CC,49271859,Pedro González,21/11/1963,false,940,Old Mutual,Cali,Cartagena,Armada,true,true,true,true,false
CE,21394198,Pedro Sánchez,21/11/1988,true,483,Proteccion,Cartagena,Bogotá,Minsalud,false,false,false,false,true
PA,08593145,María González,21/11/1994,false,904,Porvenir,Barranquilla,Cartagena,Armada,false,true,true,false,true
CC,73012988,Juan López,21/11/1961,false,649,Old Mutual,Bogotá,Medellín,Ninguna,true,false,false,true,false
CC,65338548,Carmen Martínez,21/11/1995,false,855,Colfondos,Bogotá,Bogotá,Armada,false,true,true,true,false
CE,07288540,Carmen Sánchez,21/11/1979,false,754,Colfondos,Cali,Barranquilla,Armada,true,true,false,false,false
PA,84100471,Carmen Sánchez,21/11/1978,false,731,Old Mutual,Cartagena,Cartagena,Policía,false,false,true,false,false
PA,86889303,Patricia López,21/11/1990,false,538,Proteccion,Medellín,Cartagena,Ninguna,true,false,true,false,false
CC,13778679,José Martínez,21/11/1966,false,515,Old Mutual,Cali,Medellín,Ninguna,false,false,false,true,false
CC,18232019,Patricia García,21/11/1999,false,852,Porvenir,Cali,Barranquilla,Inpec,false,true,true,true,true
CC,10958122,Carmen López,21/11/1976,false,865,Porvenir,Medellín,Bogotá,Mininterior,true,true,false,true,true
CC,13884827,María Rodríguez,21/11/1979,false,340,Proteccion,Cartagena,Cali,Policía,false,false,false,false,false
PA,15568102,Pedro Pérez,21/11/2004,false,764,Old Mutual,Cali,Cali,Armada,false,false,false,false,true
CC,43619276,Luis Rodríguez,21/11/1969,true,737,Old Mutual,Medellín,Barranquilla,Policía,true,true,true,true,false
